id,symbol,name,market_cap_rank,market_cap,total_volume,current_price,circulating_supply,total_supply,max_supply,price_change_percentage_24h,last_updated,reject_reasons,is_rejected
aster-2,aster,Aster,66,1612680042,123890125.0,0.657969,2453439672.0,7922139499.822846,8000000000.0,2.94144,2026-01-24T22:24:58.987Z,,False
global-dollar,usdg,Global Dollar,67,1608406681,15084719.0,0.999696,1608829929.077313,1608829929.077313,,0.00878,2026-01-24T22:24:58.559Z,,False
pump-fun,pump,Pump.fun,69,1607293659,164611687.0,0.00272698,590000000000.0,999989216460.9532,1000000000000.0,14.21267,2026-01-24T22:24:59.337Z,,False
wrapped-solana,sol,Wrapped SOL,71,1561272330,426666683.0,126.97,12295003.2365864,12295003.2365864,,-0.3685,2026-01-24T22:24:59.222Z,,False
ripple-usd,rlusd,Ripple USD,76,1414950074,26614688.0,0.999635,1415456101.329284,1415456101.329284,,-0.0395,2026-01-24T22:24:58.986Z,,False
ethena,ena,Ethena,78,1388395383,55518113.0,0.174447,7957812500.0,15000000000.0,15000000000.0,-0.44541,2026-01-24T22:24:59.503Z,,False
polygon-ecosystem-token,pol,POL (ex-MATIC),79,1342433394,46919438.0,0.126863,10579337569.06528,10579337569.06528,,-1.22606,2026-01-24T22:24:58.700Z,,False
wbnb,wbnb,Wrapped BNB,80,1327671548,170459257.0,887.6,1495907.681292728,1495907.681292728,,-0.35193,2026-01-24T22:24:59.517Z,,False
bfusd,bfusd,BFUSD,81,1316888348,12848610.0,0.99764,1320000000.0,1320000000.0,,0.02099,2026-01-24T22:24:58.531Z,,False
myx-finance,myx,MYX Finance,82,1307935023,27286402.0,6.86,190768939.69,1000000000.0,1000000000.0,17.97395,2026-01-24T22:24:59.263Z,,False
worldcoin-wld,wld,Worldcoin,83,1294578846,40298334.0,0.469317,2757802859.146073,10000000000.0,10000000000.0,0.13998,2026-01-24T22:24:59.226Z,,False
syrupusdc,syrupusdc,syrupUSDC,85,1277411516,15808114.0,1.15,1112973196.44476,1112973196.44476,,0.0019,2026-01-24T22:24:58.753Z,,False
aptos,apt,Aptos,88,1184418642,42758749.0,1.55,764723652.6598631,1193642120.225814,,-0.05611,2026-01-24T22:24:58.888Z,,False
